word,count
jeito,41
controle,41
acordo,41
ouvir,41
sindicato,40
certo,40
mudança,40
tratamento,40
constantes,40
júnior,40
exige,40
carteira,40
tentar,40
situação,40
custo,40
valoriza,40
constantemente,40
perspectiva,40
supervisor,40
negócio,39
alunos,39
piores,39
perder,39
comida,39
tapete,39
chefia,39
trabalhe,39
serve,38
maluco,38
chamado,38
tentam,38
promover,38
aceita,38
voltar,38
literalmente,38
area,38
gestao,38
recebendo,38
cumprem,38
mim,37
denúncias,37
metade,37
remoto,37
ideias,37
ajudar,37
pena,37
folga,37
cobrar,37
querendo,37
toma,37
absurdos,37
falsas,37
jovens,37
competição,37
interna,37
ar,37
café,37
racistas,36
responsabilidade,36
nota,36
atividades,36
ridículo,36
jr,36
impossíveis,36
pedem,36
produção,36
lider,36
altamente,36
madrugada,36
valorização,36
desenvolvedores,36
p,36
trabalharem,36
atenção,35
melhorar,35
t,35
descontos,35
vagas,35
período,35
justificativa,35
presidente,35
homofobia,35
mudanças,35
prazo,35
faça,34
estágio,34
bando,34
realizar,34
canal,34
head,34
trabalhava,34
lavagem,34
fiquei,34
retorno,34
mesa,34
domingo,34
falsa,34
mandado,34
finge,34
doentes,34
irreais,34
direção,34
práticas,34
terem,34
sequer,34
top,34
gostam,34
homem,33
carro,33
trabalhador,33
venda,33
espaço,33
modelo,33
serviços,33
finais,33
vira,33
fiz,33
piadas,33
recursos,33
começa,33
desumana,33
humilham,33
justa,33
resto,33
licença,33
cuidado,33
extrema,33
terceiros,33
desenvolver,32
demitida,32
época,32
emocional,32
respeita,32
direto,32
educação,32
coordenação,32
virar,32
minutos,32
sistemas,32
importam,32
responder,32
necessidade,32
pegar,32
entendem,32
ninguem,32
chance,32
médico,32
pessoais,32
informações,32
enorme,32
demitiu,31
números,31
promovidos,31
lei,31
filho,31
passado,31
horrivel,31
r,31
moralmente,31
entender,31
desculpa,31
altos,31
água,31
mandaram,31
operação,31
solto,31
quantidade,31
pessimos,31
rua,30
oferece,30
acumulo,30
escravidão,30
denuncia,30
galera,30
tratado,30
foco,30
olhar,30
gera,30
fazerem,30
queria,30
oferecem,30
tratados,30
feriado,30
software,30
valorizam,30
cursos,30
sobrecarregados,30
funcionária,30
bosta,30
mentira,30
feriados,30
obrigados,30
expediente,30
humano,30
bate,30
confiança,30
padrão,30
mau,30
estratégia,29
exploram,29
chama,29
usa,29
infelizmente,29
assedia,29
comentários,29
saudável,29
cheia,29
deixando,29
chegou,29
pratica,29
técnica,29
assédios,29
chegar,29
refeição,29
organizacional,29
completa,29
glassdoor,29
tratar,29
fachada,29
micro,29
escravo,29
enfim,29
s,29
vamos,29
selo,29
liderar,29
saude,29
suficiente,29
pensar,28
crise,28
folha,28
bonus,28
humilhar,28
pensam,28
feliz,28
entrou,28
basicamente,28
aguentar,28
burro,28
arrogantes,28
possibilidade,28
gerenciamento,28
mente,28
escala,28
saiu,28
junto,28
vontade,28
péssimas,28
pesquisa,28
manhã,28
criam,28
layoffs,28
quadro,28
down,28
erro,28
adianta,27
comprar,27
extremo,27
fofocas,27
faculdade,27
cidade,27
desligamento,27
mentiras,27
desenvolvedor,27
desumano,27
simples,27
necessário,27
departamento,27
atingir,27
contas,27
terror,27
força,27
maneira,27
importante,27
trabalhista,27
crises,27
contrário,27
verdadeiro,27
conivente,27
arcaica,27
passando,27
antiga,27
tira,27
prioridade,26
pura,26
mentalidade,26
porta,26
tentando,26
atrasa,26
baba,26
gerir,26
sugam,26
humanos,26
papo,26
pesado,26
responsável,26
querer,26
pessimo,26
excessivas,26
falou,26
mérito,26
fujam,26
esforço,26
forçam,26
fingem,26
voz,26
sabia,26
aprendiz,26
chegam,26
diariamente,26
tipos,26
esperam,26
insalubre,26
futuro,26
inovação,26
caos,26
professores,26
seguir,25
jovem,25
aprender,25
incompetência,25
melhorias,25
escopo,25
horríveis,25
altas,25
cerebral,25
tiram,25
passei,25
graça,25
conversa,25
vê,25
acabar,25
excessivo,25
diferença,25
aviso,25
comigo,25
parecem,25
palavras,25
promovida,25
amadora,25
ficaram,25
descanso,25
hierarquia,25
comportamento,25
toxicos,25
continuar,25
escola,25
olha,25
startup,25
sabendo,25
avaliações,25
desorganizado,25
ficava,25
absolutamente,25
proposta,24
cu,24
vista,24
postura,24
negócios,24
continuam,24
baixíssimo,24
consultoria,24
dava,24
usando,24
levar,24
evolução,24
sorte,24
internos,24
desligado,24
aceitar,24
corporativo,24
jornadas,24
acabam,24
chegando,24
chamar,24
olhos,24
público,24
assediadores,24
recebi,24
faziam,24
caralho,24
seguinte,24
opinião,24
internas,24
reclamações,24
trainee,24
terrível,24
denúncia,23
autonomia,23
horario,23
esposa,23
comissão,23
fundadores,23
internamente,23
whatsapp,23
positividade,23
burocracia,23
flexibilidade,23
fechar,23
ensinar,23
leis,23
exatamente,23
people,23
grupos,23
frequentemente,23
sentir,23
cria,23
fábrica,23
terceirizados,23
sócio,23
discriminação,23
risco,23
agência,23
anti,23
virou,23
continua,23
perdida,23
executivos,23
puro,23
abrir,23
mandou,23
jogo,23
olham,23
promessa,23
forte,23
preconceito,23
pediram,23
demitindo,23
infraestrutura,23
difícil,22
fuja,22
chamam,22
híbrido,22
regra,22
varios,22
social,22
brigas,22
demitidas,22
indo,22
uso,22
trazer,22
respeitam,22
cobrando,22
conversar,22
ouvi,22
história,22
semanas,22
empregados,22
preparados,22
acesso,22
descontam,22
perdeu,22
aconteceu,22
minimo,22
agradar,22
eventos,22
muda,22
responsabilidades,22
chorando,22
corte,22
lucros,22
interno,22
adora,22
call,22
varias,22
filhos,22
fraco,22
profissionalismo,22
achar,22
condicionado,22
sofre,22
mkt,21
branco,21
pau,21
incentiva,21
va,21
ações,21
agressiva,21
vou,21
negros,21
trás,21
perfil,21
dura,21
accenture,21
treinamentos,21
escritorio,21
semanais,21
contrataram,21
inteira,21
atual,21
mensagem,21
preocupação,21
reclamam,21
sp,21
promete,21
computador,21
preocupa,21
tiraram,21
preocupam,21
assediam,21
gritam,21
eh,21
maternidade,21
barata,21
falava,21
gerando,21
formação,21
inúmeros,21
segue,21
limite,21
deu,21
saíram,21
produtividade,21
acabou,21
aumentos,21
pagamentos,21
brancos,21
assistente,21
supervisão,21
sangue,21
pós,21
manipulação,21
código,21
caras,21
contratos,21
curso,21
criando,21
mínima,20
ah,20
comando,20
objetivos,20
work,20
cuida,20
manutenção,20
workaholic,20
plantão,20
seguro,20
relacionamento,20
criar,20
contato,20
resposta,20
reclama,20
queriam,20
adicional,20
mudou,20
colocando,20
agem,20
precisar,20
aumentar,20
mantém,20
xinga,20
foda,20
farsa,20
subordinados,20
enganar,20
saquismo,20
lojas,20
preconceituosa,20
almoçar,20
critérios,20
entrei,20
operações,20
clareza,20
redução,20
possíveis,20
enfermagem,20
levando,20
documentação,20
competitividade,20
alegando,20
joga,20
saem,20
financeira,20
prometendo,20
diárias,20
começar,19
absurdamente,19
denunciar,19
explicação,19
acho,19
saída,19
certa,19
ótima,19
pedindo,19
sozinho,19
puta,19
legal,19
detalhe,19
esperando,19
decisão,19
compra,19
pedido,19
claramente,19
maiores,19
autoritária,19
baixíssimos,19
assediador,19
independente,19
preconceituosos,19
conforme,19
disseram,19
insuportável,19
d,19
ausência,19
coach,19
gosto,19
direcionamento,19
desconto,19
saindo,19
contratados,19
regime,19
pressao,19
mentir,19
puxam,19
boca,19
né,19
técnicos,19
lista,19
pega,19
camisa,19
rescisão,19
tenta,19
b,19
ferramentas,19
assinar,19
morais,19
meninas,19
basta,19
atrasam,19
superior,19
vendedor,19
andar,19
investidores,19
familia,19
informação,19
milhões,19
fácil,18
gerenciar,18
unidade,18
região,18
povo,18
vt,18
vendedores,18
familiares,18
via,18
areas,18
talentos,18
causando,18
mes,18
i,18
homofóbica,18
humilhações,18
presenciei,18
torna,18
ridícula,18
parar,18
níveis,18
pensamento,18
levam,18
lead,18
comuns,18
sente,18
saí,18
experiencia,18
sábado,18
indicação,18
cumpre,18
natal,18
piso,18
ótimo,18
ferias,18
negativo,18
participar,18
baseada,18
psicológicos,18
fundo,18
praticam,18
psicologicamente,18
passou,18
presente,18
desvalorização,18
chão,18
administrativo,18
terra,18
turnover,18
bolso,18
horrores,18
burra,18
bonito,18
humanizada,18
investimento,18
métricas,18
humanidade,18
corpo,18
inglês,18
sobrecarregando,18
beneficio,18
advertência,18
estarem,18
hospital,18
cool,17
pagou,17
cadeiras,17
ha,17
estao,17
briga,17
favorecimento,17
clara,17
entregam,17
forçando,17
equipamentos,17
fingir,17
tirando,17
estresse,17
pedi,17
promovidas,17
estado,17
fizer,17
achando,17
seguem,17
ferramenta,17
auxiliar,17
level,17
proprio,17
prévio,17
expõe,17
trabalhou,17
gritando,17
jogar,17
computadores,17
aberta,17
apresenta,17
liderados,17
coordenadora,17
pediu,17
cobrado,17
jogando,17
podre,17
alguem,17
falindo,17
perdido,17
velhos,17
vp,17
reclamação,17
foto,17
urgente,17
cargas,17
servem,17
precisamos,17
falaram,17
sr,17
obrigação,17
narcisista,17
salariais,17
falso,17
conhece,17
mixaria,17
desvios,17
puxando,17
parentes,17
marca,17
design,17
lugares,17
babar,17
tratando,17
idade,17
corre,17
limpeza,17
único,17
passaram,17
descaso,17
min,17
questões,17
onboarding,17
covid,17
falsidade,16
básico,16
entende,16
possa,16
tbm,16
ngm,16
aceitam,16
gigante,16
aguenta,16
falha,16
competitivo,16
reestruturação,16
dormir,16
deixou,16
estagiario,16
politica,16
sinto,16
perdendo,16
excelente,16
alocado,16
meia,16
cair,16
presta,16
cheguei,16
procurando,16
ameaçam,16
qa,16
aprendizes,16
participação,16
porra,16
unidades,16
corretamente,16
circo,16
lindo,16
fundador,16
caminho,16
sofrem,16
trabalhos,16
propaganda,16
gastos,16
gritos,16
estilo,16
pedidos,16
apoia,16
humana,16
caráter,16
consideração,16
propósito,16
esperar,16
melhoria,16
utilizam,16
supervisora,16
fila,16
calor,16
falas,16
frequentes,16
pagos,16
antiquada,16
antigo,16
definidos,16
trocar,16
atrasado,16
abre,16
orientação,16
baseado,16
reconhecido,16
tornando,16
anterior,16
paulo,16
atrasada,16
brasileiros,16
incentivam,16
po,16
insalubres,16
sério,16
administração,16
transporte,16
pegam,15
hrs,15
desnecessárias,15
disponível,15
triste,15
aparecer,15
suga,15
deram,15
ligam,15
qi,15
dedo,15
especialmente,15
jamais,15
esperado,15
ciclo,15
chamando,15
forçar,15
respondem,15
compromisso,15
consultores,15
pagaram,15
gerar,15
mentirosa,15
panos,15
velho,15
decente,15
tecnologias,15
importantes,15
especialistas,15
linha,15
senão,15
burros,15
pesquisas,15
misoginia,15
place,15
explorar,15
go,15
amiguinhos,15
palavra,15
caiu,15
modo,15
resumo,15
liga,15
cai,15
mostrar,15
energia,15
preciso,15
tais,15
pai,15
indicadores,15
planos,15
rotina,15
presencialmente,15
regional,15
conheci,15
trabalhem,15
colocaram,15
chorar,15
escravos,15
zona,15
derrubar,15
completo,15
acontecem,15
sujo,15
ci,15
exercer,15
atrasos,15
homofóbico,14
tempos,14
campo,14
acompanhamento,14
demora,14
diversa,14
gritar,14
xingam,14
quente,14
seguida,14
acessos,14
exaustiva,14
competentes,14
ficando,14
escroto,14
obrigando,14
irem,14
sede,14
ppr,14
notebook,14
transparencia,14
acontecer,14
políticas,14
teoria,14
sofrer,14
permite,14
começam,14
oferecer,14
kkkk,14
enganam,14
louco,14
convênio,14
explicar,14
digital,14
prometido,14
obrigações,14
direta,14
fornecedores,14
lamber,14
expor,14
adoram,14
veio,14
festa,14
prédio,14
início,14
pago,14
nivel,14
mandando,14
bagunçada,14
liberdade,14
m,14
engessada,14
cuidar,14
senso,14
filial,14
inclusiva,14
expectativa,14
preocupados,14
kkk,14
gigantesca,14
professor,14
falhas,14
amiga,14
data,14
egos,14
irá,14
interesse,14
menores,14
fraudes,14
atua,14
tarefa,14
operacional,14
recém,14
entregue,14
escrever,14
fecha,14
rei,14
máquina,14
apresentar,14
ação,14
pacientes,14
negativa,14
razão,14
adequado,14
pejotização,14
come,14
tivit,14
pagarem,13
soluções,13
ajudam,13
brincando,13
sujeira,13
justificar,13
heads,13
entrada,13
material,13
tao,13
atitudes,13
vá,13
amor,13
toxicidade,13
exigências,13
iria,13
lideranca,13
famoso,13
oque,13
assediada,13
preferem,13
trabalhado,13
recebia,13
chegaram,13
sensação,13
sobrecarregam,13
preza,13
der,13
controlam,13
inimigo,13
esquece,13
mensagens,13
exposição,13
psicologica,13
vendida,13
despreparo,13
busca,13
série,13
questionar,13
provavelmente,13
acabaram,13
seletivos,13
ignora,13
festas,13
solta,13
branca,13
opção,13
culpado,13
comunicar,13
gastam,13
viagens,13
impacto,13
sobem,13
bola,13
errada,13
cartão,13
viver,13
great,13
nariz,13
promovendo,13
ficarem,13
interesses,13
prejudicar,13
candidatos,13
caro,13
certas,13
imatura,13
preço,13
aonde,13
seguros,13
bunda,13
valorizado,13
relatos,13
vivo,13
perdi,13
filha,13
defasados,13
estando,13
rodo,13
claros,13
sofreu,13
ensina,13
física,13
diminuir,13
omisso,13
exigindo,13
contratada,13
tantos,13
inferior,13
perguntas,13
preparada,13
avaliar,13
seleção,13
habilidades,13
dependendo,13
arcaico,13
incentivo,13
aparência,13
restaurante,13
abusam,13
cortar,13
acidente,13
criança,13
diária,13
atuação,13
batem,13
sentem,13
verdadeira,13
morrer,13
comete,13
conseguiu,13
jogos,13
governo,13
merece,13
recrutamento,13
integração,13
celular,13
antro,12
bonificação,12
trabalhamos,12
vao,12
gênero,12
faturamento,12
bornout,12
hipocrisia,12
google,12
comprometimento,12
elitista,12
ceos,12
político,12
dificuldade,12
estagiarios,12
planilha,12
amam,12
arrumar,12
progressão,12
começando,12
buscar,12
comportamentos,12
escalão,12
aspectos,12
teams,12
veem,12
paz,12
sobrecarregado,12
desespero,12
beira,12
percebe,12
grossa,12
autoridade,12
culpam,12
cometem,12
posições,12
teste,12
miséria,12
erradas,12
atualmente,12
sociedade,12
amizades,12
central,12
ridiculo,12
tomadas,12
justiça,12
membros,12
exaustivas,12
internet,12
escolher,12
desligamentos,12
passivo,12
matar,12
formas,12
desmanda,12
aberto,12
escondem,12
preferidos,12
antigas,12
inúmeras,12
contratando,12
entrando,12
salas,12
maus,12
ambev,12
suicídio,12
online,12
perdidos,12
forçado,12
parede,12
aparece,12
toa,12
país,12
precisava,12
faltam,12
ultrapassada,12
anda,12
descaradamente,12
prejudicando,12
preconceituoso,12
palavrões,12
prêmio,12
correndo,12
longo,12
normalizado,12
definido,12
perna,12
câmeras,12
ladeira,12
consultor,12
corredores,12
estudar,12
imaturos,12
hibrido,12
realiza,12
corrupção,12
pras,12
xingamentos,12
coleguismo,12
empregos,12
banheiros,12
superintendente,12
recorrente,12
participa,12
lambe,12
cesta,12
adm,12
inexistentes,12
juros,12
plataforma,12
normalmente,12
gestoras,12
cadeira,12
fingindo,12
provas,12
especial,12
imagina,12
preta,12
transparente,12
desqualificados,12
contratações,12
desculpas,12
frases,12
arrogância,12
morte,12
coação,12
ridículos,12
assunto,12
chamada,12
prova,12
psicologico,11
piadinhas,11
principal,11
cfo,11
acontecendo,11
consigo,11
conduta,11
discursos,11
lema,11
anual,11
unica,11
individual,11
tamanho,11
olho,11
hr,11
minorias,11
preocupado,11
plenos,11
skills,11
dobro,11
fique,11
adoecendo,11
manager,11
podemos,11
desorganizados,11
nela,11
domingos,11
perguntando,11
especialista,11
tecnico,11
termos,11
obrigatório,11
velado,11
itaú,11
santander,11
criaram,11
altíssima,11
sonho,11
saiba,11
vendendo,11
incêndio,11
sexualmente,11
pensando,11
fome,11
fornece,11
linda,11
qualificação,11
sonhos,11
apresentam,11
falado,11
gritaria,11
insalubridade,11
trabalharam,11
tom,11
ignoram,11
golpe,11
começou,11
parente,11
dao,11
funcionam,11
turma,11
compensar,11
ineficiente,11
exagerada,11
peso,11
livro,11
exame,11
vire,11
atende,11
focada,11
assumiu,11
queimar,11
etarismo,11
intrigas,11
status,11
logística,11
requisitos,11
necessidades,11
motivação,11
aumentam,11
mora,11
legislação,11
reconhecidos,11
mail,11
sofrendo,11
tornar,11
recebeu,11
fiscal,11
center,11
alcançar,11
incluindo,11
sanidade,11
inferiores,11
uniforme,11
evoluir,11
aumenta,11
verbal,11
f,11
inexperiente,11
canto,11
investem,11
juniors,11
ok,11
vejo,11
barato,11
senioridade,11
tecnicamente,11
tornou,11
custos,11
prefere,11
empregatício,11
síndrome,11
pública,11
insegurança,11
inatingíveis,11
cnpj,11
off,11
demissao,11
rápido,11
atuar,11
assediar,11
menina,11
acompanhar,11
pais,11
amiguinho,11
rolando,11
valorizar,11
mãe,11
médicos,11
paciente,11
dinossauros,11
perde,11
mentiroso,11
obviamente,11
turno,11
